CMDLINE /home/fcelaya/tfg-ade/venv/bin/python3 SPX_MLE_v7.py
MEM 5.925781 1707938554.5409
MEM 10.195312 1707938554.6420
MEM 17.046875 1707938554.7425
MEM 19.832031 1707938554.8430
MEM 22.312500 1707938554.9435
MEM 24.574219 1707938555.0440
MEM 27.707031 1707938555.1444
MEM 29.949219 1707938555.2451
MEM 31.148438 1707938555.3459
MEM 31.664062 1707938555.4468
MEM 32.179688 1707938555.5476
MEM 32.695312 1707938555.6486
MEM 33.726562 1707938555.7493
MEM 35.187500 1707938555.8501
MEM 36.730469 1707938555.9506
MEM 38.277344 1707938556.0513
MEM 40.082031 1707938556.1521
MEM 40.855469 1707938556.2529
MEM 42.011719 1707938556.3537
MEM 42.535156 1707938556.4545
MEM 44.335938 1707938556.5553
MEM 48.480469 1707938556.6560
MEM 49.511719 1707938556.7634
MEM 50.429688 1707938556.8645
MEM 51.320312 1707938556.9665
MEM 51.988281 1707938557.0673
MEM 53.640625 1707938557.1680
MEM 55.050781 1707938557.2686
MEM 57.812500 1707938557.3692
MEM 59.355469 1707938557.4699
MEM 61.160156 1707938557.5708
MEM 63.957031 1707938557.6715
MEM 66.968750 1707938557.7724
MEM 69.046875 1707938557.8732
MEM 70.675781 1707938557.9742
MEM 85.812500 1707938558.0751
MEM 89.324219 1707938558.1758
MEM 92.015625 1707938558.2765
MEM 93.992188 1707938558.3770
MEM 95.503906 1707938558.4777
MEM 97.218750 1707938558.5784
MEM 98.839844 1707938558.6790
MEM 103.945312 1707938558.7797
MEM 104.707031 1707938558.8804
MEM 104.964844 1707938558.9812
MEM 105.976562 1707938559.0819
MEM 107.058594 1707938559.1825
MEM 108.359375 1707938559.2833
MEM 109.609375 1707938559.3839
MEM 110.476562 1707938559.4847
MEM 111.179688 1707938559.5854
MEM 113.464844 1707938559.6864
MEM 114.675781 1707938559.7872
MEM 115.792969 1707938559.8878
MEM 116.511719 1707938559.9888
MEM 117.914062 1707938560.0897
MEM 118.968750 1707938560.1905
MEM 120.812500 1707938560.2912
MEM 121.585938 1707938560.3920
MEM 123.417969 1707938560.4931
MEM 124.480469 1707938560.5939
MEM 128.734375 1707938560.6946
MEM 130.554688 1707938560.7956
MEM 132.859375 1707938560.8962
MEM 134.667969 1707938560.9968
MEM 137.089844 1707938561.0974
MEM 139.746094 1707938561.1980
MEM 141.902344 1707938561.2986
MEM 143.699219 1707938561.3993
MEM 146.195312 1707938561.4999
MEM 148.898438 1707938561.6006
MEM 151.007812 1707938561.7013
MEM 152.039062 1707938561.8018
MEM 153.589844 1707938561.9023
MEM 155.347656 1707938562.0031
MEM 156.828125 1707938562.1037
MEM 158.597656 1707938562.2043
MEM 160.484375 1707938562.3049
MEM 161.628906 1707938562.4059
MEM 163.093750 1707938562.5065
MEM 165.710938 1707938562.6073
MEM 167.640625 1707938562.7085
MEM 167.640625 1707938562.8095
MEM 167.640625 1707938562.9104
MEM 167.640625 1707938563.0114
MEM 167.640625 1707938563.1126
MEM 168.410156 1707938563.2133
MEM 169.699219 1707938563.3141
MEM 200.867188 1707938563.4202
MEM 215.964844 1707938563.5213
MEM 228.750000 1707938563.6220
MEM 241.375000 1707938563.7226
MEM 246.527344 1707938563.8232
MEM 252.679688 1707938563.9238
MEM 258.542969 1707938564.0247
MEM 257.582031 1707938564.1307
MEM 257.632812 1707938564.2338
MEM 257.640625 1707938564.3344
MEM 257.695312 1707938564.4361
MEM 258.765625 1707938564.5451
MEM 258.765625 1707938564.6504
MEM 258.765625 1707938564.7552
MEM 258.765625 1707938564.8651
MEM 258.765625 1707938564.9735
MEM 257.582031 1707938565.0742
MEM 257.582031 1707938565.1749
MEM 257.582031 1707938565.2826
MEM 253.070312 1707938565.3839
MEM 253.070312 1707938565.4954
MEM 250.062500 1707938565.5961
MEM 250.062500 1707938565.6967
MEM 250.062500 1707938565.7990
MEM 234.726562 1707938565.9000
MEM 228.734375 1707938566.0011
MEM 224.957031 1707938566.1019
MEM 224.957031 1707938566.2027
MEM 224.957031 1707938566.3036
MEM 224.957031 1707938566.4084
MEM 224.957031 1707938566.5093
MEM 224.957031 1707938566.6101
MEM 224.957031 1707938566.7151
MEM 224.957031 1707938566.8167
MEM 224.957031 1707938566.9175
MEM 224.957031 1707938567.0185
MEM 224.957031 1707938567.1192
MEM 224.957031 1707938567.2200
MEM 224.957031 1707938567.3210
MEM 224.957031 1707938567.4218
MEM 224.957031 1707938567.5239
MEM 224.957031 1707938567.6246
MEM 224.957031 1707938567.7263
MEM 224.957031 1707938567.8270
MEM 224.957031 1707938567.9276
MEM 224.996094 1707938568.0285
MEM 224.996094 1707938568.1295
MEM 224.996094 1707938568.2342
MEM 224.996094 1707938568.3353
MEM 224.996094 1707938568.4360
MEM 224.996094 1707938568.5404
MEM 224.996094 1707938568.6422
MEM 224.996094 1707938568.7429
MEM 224.996094 1707938568.8528
MEM 224.996094 1707938568.9535
MEM 224.996094 1707938569.0550
MEM 224.996094 1707938569.1557
MEM 225.109375 1707938569.2566
MEM 225.109375 1707938569.3595
MEM 225.109375 1707938569.4603
MEM 225.109375 1707938569.5687
MEM 225.109375 1707938569.6695
MEM 225.109375 1707938569.7705
MEM 225.109375 1707938569.8714
MEM 225.109375 1707938569.9724
MEM 225.109375 1707938570.0743
MEM 225.109375 1707938570.1752
MEM 225.335938 1707938570.2758
MEM 225.335938 1707938570.3771
MEM 226.687500 1707938570.4778
MEM 232.531250 1707938570.5784
MEM 233.296875 1707938570.6791
MEM 233.914062 1707938570.7799
MEM 233.957031 1707938570.8808
MEM 233.957031 1707938570.9893
MEM 233.957031 1707938571.0901
MEM 233.957031 1707938571.1925
MEM 233.957031 1707938571.2953
MEM 233.957031 1707938571.3959
MEM 233.957031 1707938571.4970
MEM 233.957031 1707938571.5978
MEM 233.957031 1707938571.7034
MEM 233.957031 1707938571.8045
MEM 233.957031 1707938571.9054
MEM 233.957031 1707938572.0066
MEM 233.957031 1707938572.1075
MEM 233.957031 1707938572.2087
MEM 233.957031 1707938572.3094
MEM 233.957031 1707938572.4102
MEM 233.957031 1707938572.5109
MEM 233.957031 1707938572.6116
MEM 233.957031 1707938572.7131
MEM 233.957031 1707938572.8137
MEM 233.957031 1707938572.9233
MEM 233.957031 1707938573.0679
MEM 233.957031 1707938573.1688
MEM 233.957031 1707938573.2745
MEM 233.957031 1707938573.3769
MEM 233.957031 1707938573.4777
MEM 233.957031 1707938573.5789
MEM 233.957031 1707938573.6838
MEM 233.957031 1707938573.7847
MEM 233.957031 1707938573.8856
MEM 233.957031 1707938573.9867
MEM 233.957031 1707938574.0877
MEM 233.957031 1707938574.1886
MEM 233.957031 1707938574.2895
